Year;Actual;Predicted;Type
2001;10808;13244.212213491273;Train
2001;40383;30277.2111291851;Train
2001;10287;13747.736780873718;Train
2001;28695;28766.605795127227;Train
2001;43411;43882.83666967656;Train
2001;14477;15310.796005199776;Train
2001;24427;24260.016129267344;Train
2001;41227;32302.288066685785;Train
2001;10211;13138.390830785427;Train
2001;25041;26689.03133934194;Train
2001;37570;38609.11889590151;Train
2001;30039;30372.679233534833;Train
2001;12392;12778.404604565138;Train
2001;26288;25223.23490928101;Train
2001;25993;24505.222267459874;Train
2001;16227;23116.598031765294;Train
2001;33399;33093.29912233296;Train
2001;40776;40080.60070903228;Train
2001;20463;19761.54709584436;Train
2002;33675;31646.719482729106;Train
2002;15387;14067.535628027103;Train
2002;39907;30816.653620558183;Train
2002;44569;44052.33573851049;Train
2002;39123;40486.23068464515;Train
2002;30383;30704.049923472423;Train
2002;26178;23763.254841650087;Train
2002;47148;44406.320505238764;Train
2002;44089;41416.912826331914;Train
2002;19322;20494.70834484035;Train
2002;14440;15206.296789227961;Train
2002;28791;26916.433052883098;Train
2002;11389;12259.384156565235;Train
2002;22122;20461.362945414556;Train
2002;39094;36198.21803288112;Train
2002;19389;20088.54017499909;Train
2002;15437;14153.239193718793;Train
2002;10437;13271.98965879925;Train
2002;23332;21909.2564229175;Train
2002;25614;25216.615266356403;Train
2002;16164;17540.53696265046;Train
2002;14336;13935.539924966215;Train
2002;13492;18461.820740984058;Train
2002;13160;13804.598410591885;Train
2002;26297;26244.205873849325;Train
2002;27946;25625.564961411823;Train
2002;12089;17065.496737594534;Train
2002;42380;39938.77136523036;Train
2002;24100;24630.13693381419;Train
2003;14393;13973.142571725419;Train
2003;26529;29719.2714738193;Train
2003;40775;42580.73084973843;Train
2003;17932;20297.15299973839;Train
2003;39119;26110.31938564095;Train
2003;26359;25466.233250169058;Train
2003;16081;17811.945292556018;Train
2003;15440;14660.341428646665;Train
2003;15130;13937.039701523074;Train
2003;33731;29075.407884179913;Train
2003;40814;41213.54801128743;Train
2003;5944;12270.092169623043;Train
2003;18587;20619.945086476855;Train
2003;27257;26942.330318190016;Train
2003;28065;26342.565574945464;Train
2003;14004;14293.502901854494;Train
2003;34380;33542.73135933587;Train
2003;15751;21210.780454740125;Train
2003;13535;13926.649354534718;Train
2003;20666;20407.53063338063;Train
2003;11628;13623.147307538102;Train
2003;25165;25391.295514444108;Train
2003;40361;39737.624615592424;Train
2003;34518;38864.264347044;Train
2003;15131;17780.511788422267;Train
2003;16435;18529.875891950436;Train
2003;42532;43099.42307145003;Train
2003;21512;23558.64471157069;Train
2003;21770;24617.521243254614;Train
2004;30915;29087.648396439796;Train
2004;16994;18682.149026557214;Train
2004;14935;14198.474646221592;Train
2004;44176;42219.57671518014;Train
2004;39498;34927.90357890079;Train
2004;18686;17707.026395376524;Train
2004;25321;20984.70607182904;Train
2004;27160;25949.524072456443;Train
2004;27943;25450.27946565278;Train
2004;25149;25183.906086209146;Train
2004;15400;16647.169667887592;Train
2004;25095;25793.37334561025;Train
2004;13339;13977.281257882723;Train
2004;12880;13822.712223872459;Train
2004;48396;44591.51796207643;Train
2004;45416;42419.11460497606;Train
2004;10342;13943.32861285194;Train
2004;19546;20210.462066790835;Train
2004;31612;30837.309693151146;Train
2004;39742;33719.264055147796;Train
2004;22689;23568.278242652264;Train
2004;20264;20382.17781483454;Train
2004;19627;20285.74273763063;Train
2004;26873;26470.901927451505;Train
2004;45683;44012.78313129164;Train
2004;12851;13783.696492423183;Train
2004;16654;16021.183805422423;Train
2004;41519;33689.22150174246;Train
2004;42478;42050.58143754267;Train
2005;23052;25306.067740901475;Train
2005;12099;13844.625036113148;Train
2005;20068;20454.693611714505;Train
2005;34678;32908.335746383615;Train
2005;15645;18721.483588120373;Train
2005;17730;23462.365122261057;Train
2005;16706;14925.206657417599;Train
2005;15028;13904.369762835193;Train
2005;14464;16426.18178855514;Train
2005;25699;24115.323666964767;Train
2005;14594;14084.809228367332;Train
2005;34399;30431.031997552825;Train
2005;39410;26500.872696353956;Train
2005;42223;40255.766347269906;Train
2005;41980;41278.97466416686;Train
2005;43442;43431.76896265878;Train
2005;25878;22522.97930441953;Train
2005;38745;28511.266504605395;Train
2005;26984;26169.390938592776;Train
2005;17629;21250.837264869962;Train
2005;14728;18588.82816212199;Train
2005;31107;28208.871771691523;Train
2005;26720;27783.584268900006;Train
2005;22949;23655.516083384417;Train
2005;43515;42122.68212688594;Train
2005;12839;14062.232431728735;Train
2005;25082;25175.40761648691;Train
2005;42814;43421.474270643535;Train
2005;13104;17066.647738046475;Train
2006;24994;21262.590465754532;Train
2006;41589;41758.71357391729;Train
2006;38545;43036.01082133724;Train
2006;13261;14046.467375977323;Train
2006;13045;12951.552372846983;Train
2006;36568;40052.33433209387;Train
2006;14186;15982.661378218952;Train
2006;16381;19903.635810246018;Train
2006;19841;20456.147835036587;Train
2006;7908;14683.948777756417;Train
2006;26933;25446.434219210874;Train
2006;12215;13990.822862877754;Train
2006;29864;30083.578352317614;Train
