Year;Actual_Yield;Predicted_Yield;Data_Type
2006;16106;16246.878045334437;Train
2007;16769;18182.72978545366;Train
2008;15752;16638.06731787733;Train
2009;16443;17036.011692286746;Train
2010;15034;16461.979275305144;Train
2011;14709;16447.41719129699;Train
1961;9560;9439.407207827182;Train
1962;8522;9014.97563207753;Train
1963;8113;9076.165359830191;Train
1964;8229;9176.165402061824;Train
1965;7039;10304.511590271915;Train
1966;10564;10044.50680566368;Train
1967;9613;10577.857290685553;Train
1968;11200;10956.50275033351;Train
1969;6746;9596.779758667984;Train
1970;6855;9474.163934241642;Train
1971;12334;11251.854526688658;Train
1972;11748;10508.033873414366;Train
1973;8871;11502.192792012545;Train
1974;13270;12037.24822772576;Train
1975;8905;11938.339609268527;Train
1976;15914;15025.63624173959;Train
1977;13744;13873.37489584766;Train
1978;14622;16318.172343300555;Train
1979;15536;13816.54172576347;Train
1980;13763;14436.377632814583;Train
1981;14885;15011.92721776688;Train
1982;16102;16497.7671339108;Train
1983;19455;15697.720220531543;Train
1984;20480;17345.699073739837;Train
1985;20658;19141.40979396291;Train
1986;15760;15702.852963569632;Train
1987;13065;15030.081712783678;Train
1988;11114;13645.80557041085;Train
1989;12578;13967.513647650994;Train
1990;11000;15771.654223974163;Train
1991;7973;9994.672202472704;Train
1992;11896;12561.567187399249;Train
1993;14895;13890.816079010421;Train
1994;11853;12101.36076339217;Train
1995;12361;12250.235380374825;Train
1996;13976;12625.35365630383;Train
1997;12664;12530.363633895977;Train
1998;12830;12824.39503504613;Train
1999;14496;13083.360396938284;Train
2000;12328;12843.749012834302;Train
2001;14477;14005.854708321054;Train
2002;14440;13731.076302152158;Train
2003;14004;13961.161174985245;Train
2004;16654;15311.922301624845;Train
2005;13104;15243.050967195702;Train
2006;14186;14484.109253384688;Train
2007;13621;14806.025092264987;Train
2008;14049;14660.966035353245;Train
2009;15381;15198.353030607288;Train
2010;13296;15575.412315972359;Train
2011;16415;15734.572121171346;Train
1992;12100;16610.970317749703;Train
1993;12574;20279.590477781927;Train
1994;17268;19986.38652696965;Train
1995;18991;20854.310325959763;Train
1996;19300;20959.90235718104;Train
1997;20478;20617.92906976617;Train
1998;21268;21776.507362079577;Train
1999;19726;21032.34593086055;Train
2000;20795;21172.75132417701;Train
2001;19047;20843.301891274754;Train
2002;23332;21688.209860319555;Train
2003;15751;18219.615302732844;Train
2004;25095;25485.440623230203;Train
2005;22949;22630.51633961119;Train
2006;18131;20045.340459152547;Train
2007;22847;21605.336012464304;Train
2008;22661;22229.985259216384;Train
2009;24773;23059.68497488283;Train
2010;24535;26647.35136756284;Train
2011;26423;21914.631465711907;Train
1961;11813;10026.182131648577;Train
1962;10160;9970.737717953341;Train
1963;12356;10245.00375620652;Train
1964;11649;10441.182456866238;Train
1965;11071;10305.62766873167;Train
1966;11808;11091.717789149618;Train
1967;11935;11184.769669398105;Train
1968;11897;11285.345200651458;Train
1969;12716;11501.022297686855;Train
1970;13355;11749.402779011438;Train
